,Layer 1,Layer 2,Layer 3,Stage 0 - Layer 1,Stage 0 - Layer 2,Stage 0 - Layer 3,Stage 1 - Layer 1,Stage 1 - Layer 2,Stage 1 - Layer 3,Stage 2 - Layer 1,Stage 2 - Layer 2,Stage 2 - Layer 3,Stage 3 - Layer 1,Stage 3 - Layer 2,Stage 3 - Layer 3,Stage 4 - Layer 1,Stage 4 - Layer 2,Stage 4 - Layer 3,Stage 5 - Layer 1,Stage 5 - Layer 2,Stage 5 - Layer 3,Stage 6 - Layer 1,Stage 6 - Layer 2,Stage 6 - Layer 3,Stage 7 - Layer 1,Stage 7 - Layer 2,Stage 7 - Layer 3,Stage 8 - Layer 1,Stage 8 - Layer 2,Stage 8 - Layer 3
0,Complain,ATM,Barang Jatuh Di Area,Complain (General Customer),Branchless,BLB: ATM Barang Jatuh Di Area ATM,Complain,Branchless,ATM Barang Jatuh Di Area ATM,Complain,ATM,Barang Jatuh Di Area,Complain,ATM,Barang Jatuh Di Area,Complain,ATM,Barang Jatuh Di Area,Complain,ATM,Barang Jatuh Di Area,Complain,ATM,Barang Jatuh Di Area,Complain,ATM,Barang Jatuh Di Area,Complain,ATM,Barang Jatuh Di Area
1,Complain,ATM,Gagal Tarik,Complain (General Customer),Branchless,BLB: ATM Gagal Tarik,Complain,Branchless,ATM Gagal Tarik,Complain,ATM,Gagal Tarik,Complain,ATM,Gagal Tarik,Complain,ATM,Gagal Tarik,Complain,ATM,Gagal Tarik,Complain,ATM,Gagal Tarik,Complain,ATM,Gagal Tarik,Complain,ATM,Gagal Tarik
2,Complain,ATM,Gagal Transaksi,Complain (General Customer),Branchless,BLB: ATM Gagal Transaksi,Complain,Branchless,ATM Gagal Transaksi,Complain,ATM,Gagal Transaksi,Complain,ATM,Gagal Transaksi,Complain,ATM,Gagal Transaksi,Complain,ATM,Gagal Transaksi,Complain,ATM,Gagal Transaksi,Complain,ATM,Gagal Transaksi,Complain,ATM,Gagal Transaksi
3,Complain,ATM,Jumlah Uang Tidak Sesuai,Complain (General Customer),Branchless,BLB: ATM Jumlah Uang Tidak Sesuai,Complain,Branchless,ATM Jumlah Uang Tidak Sesuai,Complain,ATM,Jumlah Uang Tidak Sesuai,Complain,ATM,Jumlah Uang Tidak Sesuai,Complain,ATM,Jumlah Uang Tidak Sesuai,Complain,ATM,Jumlah Uang Tidak Sesuai,Complain,ATM,Jumlah Uang Tidak Sesuai,Complain,ATM,Jumlah Uang Tidak Sesuai,Complain,ATM,Jumlah Uang Tidak Sesuai
4,Complain,ATM,Kebersihan/ Kelengkapan,Complain (General Customer),Branchless,BLB: ATM Kebersihan/ Kelengkapan,Complain,Branchless,ATM Kebersihan/ Kelengkapan,Complain,ATM,Kebersihan/ Kelengkapan,Complain,ATM,Kebersihan/ Kelengkapan,Complain,ATM,Kebersihan/ Kelengkapan,Complain,ATM,Kebersihan/ Kelengkapan,Complain,ATM,Kebersihan/ Kelengkapan,Complain,ATM,Kebersihan/ Kelengkapan,Complain,ATM,Kebersihan/ Kelengkapan
5,Complain,ATM,Mesin Lambat,Complain (General Customer),Branchless,BLB: ATM Mesin Lambat,Complain,Branchless,ATM Mesin Lambat,Complain,ATM,Mesin Lambat,Complain,ATM,Mesin Lambat,Complain,ATM,Mesin Lambat,Complain,ATM,Mesin Lambat,Complain,ATM,Mesin Lambat,Complain,ATM,Mesin Lambat,Complain,ATM,Mesin Lambat
6,Complain,ATM,Other,Complain (General Customer),Branchless,BLB: ATM Other,Complain,Branchless,ATM Other,Complain,ATM,Other,Complain,ATM,Other,Complain,ATM,Other,Complain,ATM,Other,Complain,ATM,Other,Complain,ATM,Other,Complain,ATM,Other
7,Complain,ATM,Penipuan,Complain (General Customer),Branchless,BLB: ATM Penipuan,Complain,Branchless,ATM Penipuan,Complain,ATM,Penipuan,Complain,ATM,Penipuan,Complain,ATM,Penipuan,Complain,ATM,Penipuan,Complain,ATM,Penipuan,Complain,ATM,Penipuan,Complain,ATM,Penipuan
8,Complain,ATM,Uang Palsu,Complain (General Customer),Branchless,BLB: ATM Uang Palsu,Complain,Branchless,ATM Uang Palsu,Complain,ATM,Uang Palsu,Complain,ATM,Uang Palsu,Complain,ATM,Uang Palsu,Complain,ATM,Uang Palsu,Complain,ATM,Uang Palsu,Complain,ATM,Uang Palsu,Complain,ATM,Uang Palsu
9,Complain,ATM,Uang Rusak,Complain (General Customer),Branchless,BLB: ATM Uang Rusak,Complain,Branchless,ATM Uang Rusak,Complain,ATM,Uang Rusak,Complain,ATM,Uang Rusak,Complain,ATM,Uang Rusak,Complain,ATM,Uang Rusak,Complain,ATM,Uang Rusak,Complain,ATM,Uang Rusak,Complain,ATM,Uang Rusak
